Sala: 101 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
19:35:00 - 20:20:00 , , , Estágio Supervisionado Em Geografia Iii , Sociologia Da Violência E Do Conflito , Geografia Agrária I , Estágio Supervisionado Em Geografia I , Estágio Supervisionado Em Geografia I 
20:30:00 - 21:15:00 , , , Antropologia 3 , Sociologia Da Violência E Do Conflito , Geografia Agrária I , Estágio Supervisionado Em Geografia I , Estágio Supervisionado Em Geografia I 
21:15:00 - 22:00:00 , , , Antropologia 3 , Sociologia Da Violência E Do Conflito , Geografia Agrária I , Estágio Supervisionado Em Geografia I , Estágio Supervisionado Em Geografia I 
Sala: 106 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Cálculo 1c , Geografia Agrária I , Língua Portuguesa , Estágio Curricular 1 , Filosofia Da Linguagem 
08:50:00 - 09:40:00 , , , Cálculo 1c , Geografia Agrária I , Língua Portuguesa , Estágio Curricular 1 , Filosofia Da Linguagem 
10:00:00 - 10:50:00 , , , Cálculo 1c , Geografia Agrária I , Língua Portuguesa , Estágio Curricular 1 , Filosofia Da Linguagem 
10:50:00 - 11:40:00 , , , Cálculo 1c , Geografia Agrária I , Língua Portuguesa , Estágio Curricular 1 , Filosofia Da Linguagem 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Introdução À Ciência Política , Seminários Temáticos Em Comunicação , Administração , , 
14:50:00 - 15:40:00 , , , Introdução À Ciência Política , Seminários Temáticos Em Comunicação , Administração , , 
16:00:00 - 16:50:00 , , , Cálculo Diferencial , Seminários Temáticos Em Comunicação , Sociologia , , Cálculo 1c 
16:50:00 - 17:40:00 , , , Cálculo Diferencial , Seminários Temáticos Em Comunicação , Sociologia , , Cálculo 1c 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 306 , Prédio: CAB , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , Estatística Econômica E Introdução À Econometria , 
08:50:00 - 09:40:00 , , , , , , Estatística Econômica E Introdução À Econometria , 
10:00:00 - 10:50:00 , , , Cálculo 1a , , , , 
10:50:00 - 11:40:00 , , , Cálculo 1a , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Princípios De Economia , Finanças I , Auditoria De Sistemas , Introdução À Teoria Da Contabilidade , Finanças I 
19:35:00 - 20:20:00 , , , Princípios De Economia , Finanças I , Auditoria De Sistemas , Introdução À Teoria Da Contabilidade , Finanças I 
20:30:00 - 21:15:00 , , , Tópicos De Sociologia I , Finanças I , Álgebra Linear , Probabilidade E Estatística A , Princípios De Economia 
21:15:00 - 22:00:00 , , , Tópicos De Sociologia I , Finanças I , Álgebra Linear , Probabilidade E Estatística A , Princípios De Economia 
Sala: 309 , Prédio: CAB , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , Genética , 
08:50:00 - 09:40:00 , , , , , , Genética , 
10:00:00 - 10:50:00 , , , Biossegurança , , , , 
10:50:00 - 11:40:00 , , , Biossegurança , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Tópicos De Sociologia I , Cálculo 2b , Probabilidade E Estatística A , Cálculo 1a , Sistemas Operacionais 
19:35:00 - 20:20:00 , , , Tópicos De Sociologia I , Cálculo 2b , Probabilidade E Estatística A , Cálculo 1a , Sistemas Operacionais 
20:30:00 - 21:15:00 , , , Princípios De Economia , Estatística Descritiva E Probabilidade , Cálculo 1a , Linguagem De Programação Java , Sistemas Operacionais 
21:15:00 - 22:00:00 , , , Princípios De Economia , Estatística Descritiva E Probabilidade , Cálculo 1a , Linguagem De Programação Java , Sistemas Operacionais 
Sala: 105 , Prédio: CAB , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , Física I , , Eletrônica Para Computação , 
10:50:00 - 11:40:00 , , , , Física I , , Eletrônica Para Computação , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , Cálculo 1a , 
14:50:00 - 15:40:00 , , , , , , Cálculo 1a , 
16:00:00 - 16:50:00 , , , Cálculo 1a , , , Introdução À Programação , 
16:50:00 - 17:40:00 , , , Cálculo 1a , , , Introdução À Programação , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Cálculo 1a , , Marketing Ii , 
19:35:00 - 20:20:00 , , , , Cálculo 1a , , Marketing Ii , 
20:30:00 - 21:15:00 , , , , Segurança , Probabilidade E Estatística A , Princípios De Economia , Tópicos Em Contabilidade I 
21:15:00 - 22:00:00 , , , , Segurança , Probabilidade E Estatística A , Princípios De Economia , Tópicos Em Contabilidade I 
Sala: 206 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: Sem nome , Prédio: FEF , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 401 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , Atenção Integral À Saúde Da Mulher E Da Criança I , , , Método Clínico I 
08:50:00 - 09:40:00 , , , , Bacteriologia Humana , , , Bacteriologia Humana 
10:00:00 - 10:50:00 , , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Método Clínico Iii , , Método Clínico I 
10:50:00 - 11:40:00 , , , , Atenção Integral À Saúde Da Mulher E Da Criança I , Saúde Do Adulto E Do Idoso - Sistema Urinário , , Corpo Humano Saudável I 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , 
14:50:00 - 15:40:00 , , , , , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , 
16:00:00 - 16:50:00 , , , , , , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 402 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
08:50:00 - 09:40:00 , , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Bacteriologia Humana , , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
10:00:00 - 10:50:00 , , , , Nutrição Em Saúde Pública Ii , Química Ambiental Aplicada À Farmácia , Saúde Do Adulto E Do Idoso - Sistema Urinário , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
10:50:00 - 11:40:00 , , , , Fisiologia Humana E Biofísica , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Urinário , Química Ambiental Aplicada À Farmácia 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Atenção Integral À Saúde Da Mulher E Da Criança I 
14:50:00 - 15:40:00 , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Atenção Integral À Saúde Da Mulher E Da Criança I 
16:00:00 - 16:50:00 , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Atenção Integral À Saúde Da Mulher E Da Criança I 
16:50:00 - 17:40:00 , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Sistema Urinário , , Saúde Do Adulto E Do Idoso - Sistema Urinário , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 403 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , , , Bacteriologia Humana 
08:50:00 - 09:40:00 , , , , Atenção Integral À Saúde Da Mulher E Da Criança I , , , Bacteriologia Humana 
10:00:00 - 10:50:00 , , , , Atenção Integral À Saúde Da Mulher E Da Criança I , Saúde Do Adulto E Do Idoso - Sistema Urinário , , Método Clínico I 
10:50:00 - 11:40:00 , , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Método Clínico Iii , , Método Clínico I 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 404 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 405 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Patologia Geral , Bacteriologia Humana , , , Bacteriologia Humana 
08:50:00 - 09:40:00 , , , Patologia Geral , Bacteriologia Humana , , , 
10:00:00 - 10:50:00 , , , Sistemas De Controle , Imunologia Básica , , Determinantes Biológicos No Processo Saúde - Doença I , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
10:50:00 - 11:40:00 , , , Imunologia Básica , , , Saúde, Família E Comunidade Iii , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Imunologia Básica , Bacteriologia Humana , , , 
14:50:00 - 15:40:00 , , , Imunologia Básica , Patologia Geral , , , 
16:00:00 - 16:50:00 , , , Determinantes Biológicos No Processo Saúde - Doença I , Determinantes Biológicos No Processo Saúde - Doença I , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 406 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 407 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 408 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , , , Bacteriologia Humana 
08:50:00 - 09:40:00 , , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , , , Bacteriologia Humana 
10:00:00 - 10:50:00 , , , , Atenção Integral À Saúde Da Mulher E Da Criança I , Método Clínico Iii , , Bacteriologia Humana 
10:50:00 - 11:40:00 , , , , , , , Método Clínico I 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 409- , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Método Clínico Iii , Saúde Do Adulto E Do Idoso - Sistema Urinário , Método Clínico Iii 
08:00:00 - 08:50:00 , , , Bacteriologia Humana , Educação Nutricional Ii , Bacteriologia Humana , Química Orgânica , Corpo Humano Saudável I 
08:50:00 - 09:40:00 , , , Bacteriologia Humana , Educação Nutricional Ii , Bacteriologia Humana , Química Orgânica , Corpo Humano Saudável I 
10:00:00 - 10:50:00 , , , , Educação Nutricional Ii , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Corpo Humano Saudável I 
10:50:00 - 11:40:00 , , , , Educação Nutricional Ii , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Corpo Humano Saudável I 
11:40:00 - 12:30:00 , , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , 
13:10:00 - 14:00:00 , , , , , , , Atenção Integral À Saúde Da Mulher E Da Criança I 
14:00:00 - 14:50:00 , , , Bases Da Biotecnologia , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Bases Da Biotecnologia , Corpo Humano Saudável I 
14:50:00 - 15:40:00 , , , Bases Da Biotecnologia , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Bases Da Biotecnologia , Corpo Humano Saudável I 
16:00:00 - 16:50:00 , , , Bases Da Biotecnologia , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Bases Da Biotecnologia , Corpo Humano Saudável I 
